Epoch		Step		TotalStep		Det-loss		Reg-loss		TrainMode
5		3150		27150		0.0130		0.0012		1
5		3200		27200		0.0100		0.0079		1
5		3250		27250		0.0142		0.0245		1
5		3300		27300		0.0245		0.0053		1
5		3350		27350		0.0146		0.1448		1
5		3400		27400		0.0078		0.0020		1
5		3450		27450		0.0212		0.0102		1
5		3500		27500		0.0179		0.0281		1
5		3550		27550		0.0178		0.0021		1
5		3600		27600		0.0155		0.0032		1
5		3650		27650		0.0257		0.0285		1
5		3700		27700		0.0251		0.0545		1
5		3750		27750		0.0173		0.0077		1
5		3800		27800		0.0186		0.1933		1
5		3850		27850		0.0109		0.0007		1
5		3900		27900		0.0326		0.0567		1
5		3950		27950		0.0119		0.1010		1
5		4000		28000		0.0137		0.0031		1
5		4050		28050		0.0215		0.0999		1
5		4100		28100		0.0184		0.1202		1
5		4150		28150		0.0276		0.0775		1
5		4200		28200		0.0139		0.0052		1
5		4250		28250		0.0109		0.0299		1
5		4300		28300		0.0067		0.0496		1
5		4350		28350		0.0201		0.0052		1
5		4400		28400		0.0210		0.0172		1
5		4450		28450		0.0114		0.0620		1
5		4500		28500		0.0549		0.0076		1
5		4550		28550		0.0157		0.0171		1
5		4600		28600		0.0260		0.0601		1
5		4650		28650		0.0143		0.0035		1
5		4700		28700		0.0215		0.0802		1
5		4750		28750		0.0148		0.0101		1
5		4800		28800		0.0136		0.0269		1
5		4850		28850		0.0145		0.0407		1
5		4900		28900		0.0137		0.0322		1
5		4950		28950		0.0118		0.1059		1
5		5000		29000		0.0402		0.1651		1
5		5050		29050		0.0107		0.1957		1
5		5100		29100		0.0594		0.1874		1
5		5150		29150		0.0142		0.0523		1
5		5200		29200		0.0198		0.0108		1
5		5250		29250		0.0151		0.0222		1
5		5300		29300		0.0165		0.0085		1
5		5350		29350		0.0217		0.0051		1
5		5400		29400		0.0137		0.0072		1
5		5450		29450		0.0152		0.0205		1
5		5500		29500		0.0153		0.0014		1
5		5550		29550		0.0285		0.0365		1
5		5600		29600		0.0114		0.0039		1
5		5650		29650		0.0103		0.0125		1
5		5700		29700		0.0246		0.3565		1
5		5750		29750		0.0208		0.0049		1
5		5800		29800		0.0171		0.0030		1
5		5850		29850		0.0148		0.0090		1
5		5900		29900		0.0160		0.0423		1
5		5950		29950		0.0304		0.0055		1
5		6000		30000		0.0212		0.0025		1
6		50		30050		0.0279		0.0532		1
6		100		30100		0.0159		0.0059		1
6		150		30150		0.0119		0.0171		1
6		200		30200		0.0209		0.0671		1
6		250		30250		0.0211		0.0081		1
6		300		30300		0.0098		0.0027		1
6		350		30350		0.0105		0.0161		1
6		400		30400		0.0130		0.1442		1
6		450		30450		0.0248		0.0149		1
6		500		30500		0.0120		0.0030		1
6		550		30550		0.0154		0.0225		1
6		600		30600		0.0218		0.0025		1
6		650		30650		0.0120		0.0024		1
6		700		30700		0.0135		0.1696		1
6		750		30750		0.0126		0.0403		1
6		800		30800		0.0113		0.0497		1
6		850		30850		0.0171		0.0020		1
6		900		30900		0.0138		0.0023		1
6		950		30950		0.0177		0.0041		1
6		1000		31000		0.0191		0.0587		1
6		1050		31050		0.0228		0.0158		1
6		1100		31100		0.0238		0.0224		1
6		1150		31150		0.0262		0.1569		1
6		1200		31200		0.0238		0.0229		1
6		1250		31250		0.0135		0.0035		1
6		1300		31300		0.0121		0.1149		1
6		1350		31350		0.0322		0.0224		1
6		1400		31400		0.0199		0.0037		1
6		1450		31450		0.0206		0.0095		1
6		1500		31500		0.0109		0.0039		1
6		1550		31550		0.0116		0.0022		1
6		1600		31600		0.0215		0.0096		1
6		1650		31650		0.0442		0.0415		1
6		1700		31700		0.0379		0.0171		1
